"ID_CLASSIFICACAO_PILOTOS","ID_RESULTADOS","ID_PILOTO","PONTOS_PILOTO","POSICAO_PILOTO","VITORIAS_PILOTO"
58086,14666,199,31,4,1
58085,14667,250,6,13,0
58084,14668,222,38,2,2
58186,14669,270,0,44,0
58185,14670,269,0,46,0
58184,14671,268,0,43,0
58183,14672,266,0,52,0
58182,14673,245,0,51,0
58181,14674,265,0,50,0
58180,14675,264,0,49,0
58179,14676,219,0,42,0
58178,14677,267,0,22,0
58177,14678,203,0,34,0
58176,14679,175,1,20,0
58175,14680,263,0,48,0
58174,14681,262,0,29,0
58173,14682,212,0,41,0
58172,14683,261,0,47,0
58171,14684,235,0,32,0
58170,14685,119,0,26,0
58169,14686,260,0,45,0
58168,14687,259,0,36,0
58167,14688,232,0,38,0
58166,14689,229,0,28,0
58165,14690,211,0,21,0
58164,14691,208,0,37,0
58163,14692,258,0,25,0
58162,14693,178,12,8,1
58161,14694,205,0,31,0
58160,14695,197,1,18,0
58159,14696,257,0,40,0
58158,14697,233,12,9,0
58157,14698,239,0,30,0
58156,14699,256,0,35,0
58155,14700,255,20,6,1
58154,14701,254,1,19,0
58153,14702,246,0,27,0
58152,14703,182,54,1,2
58151,14704,253,0,23,0
58150,14705,238,6,15,0
58149,14706,200,18,7,0
58148,14707,231,22,5,1
58147,14708,221,10,11,0
58146,14709,172,10,10,1
58145,14710,237,0,24,0
58144,14711,187,9,12,0
58143,14712,252,0,39,0
58142,14713,251,0,33,0
58141,14714,230,5,16,0
58140,14715,223,1,17,0
58139,14716,207,32,4,3
58138,14717,224,8,13,0
58137,14718,199,34,3,1
58136,14719,250,6,14,0
58135,14720,222,38,2,2
58239,14721,247,0,51,0
58238,14722,270,0,44,0
58237,14723,269,0,46,0
58236,14724,268,0,43,0
58235,14725,266,0,53,0
58234,14726,245,0,52,0
58233,14727,265,0,50,0
58232,14728,264,0,49,0
58231,14729,219,0,41,0
58230,14730,267,0,22,0
58229,14731,203,0,34,0
58228,14732,175,3,17,0
58227,14733,263,0,48,0
58226,14734,262,0,30,0
58225,14735,212,0,42,0
58224,14736,261,0,47,0
58223,14737,235,0,33,0
58222,14738,119,0,28,0
58221,14739,260,0,45,0
58220,14740,259,0,36,0
58219,14741,232,0,38,0
58218,14742,229,0,29,0
58217,14743,211,0,21,0
58216,14744,208,0,37,0
58215,14745,258,0,27,0
58214,14746,178,12,9,1
58213,14747,205,0,32,0
58212,14748,197,1,19,0
58211,14749,257,0,40,0
58210,14750,233,12,10,0
58209,14751,239,0,26,0
58208,14752,256,0,35,0
58207,14753,255,20,6,1
58206,14754,254,1,20,0
58205,14755,246,0,24,0
58204,14756,182,63,1,3
58203,14757,253,0,23,0
58202,14758,238,6,15,0
58201,14759,200,18,7,0
58200,14760,231,22,5,1
58199,14761,221,10,12,0
58198,14762,172,16,8,1
58197,14763,237,0,25,0
58196,14764,187,9,13,0
58195,14765,252,0,39,0
58194,14766,251,0,31,0
58193,14767,230,5,16,0
58192,14768,223,1,18,0
58191,14769,207,32,4,3
58190,14770,224,11,11,0
58189,14771,199,35,3,1
58188,14772,250,6,14,0
58187,14773,222,42,2,2
58296,14774,220,0,55,0
58295,14775,271,0,53,0
58294,14776,241,0,45,0
58293,14777,152,0,40,0
58292,14778,247,0,54,0
58291,14779,270,0,46,0
58290,14780,269,0,48,0
58289,14781,268,0,44,0
58288,14782,266,0,57,0
58287,14783,245,0,56,0
58286,14784,265,0,52,0
58285,14785,264,0,51,0
58284,14786,219,0,41,0
58283,14787,267,0,23,0
58282,14788,203,0,34,0
58281,14789,175,3,18,0
58280,14790,263,0,50,0
58279,14791,262,0,30,0
58278,14792,212,0,43,0
58277,14793,261,0,49,0
58276,14794,235,0,33,0
58275,14795,119,0,28,0
58274,14796,260,0,47,0
58273,14797,259,0,36,0
58272,14798,232,0,38,0
58271,14799,229,0,29,0
58270,14800,211,0,22,0
